osm_type,osm_id,building_type,exposure_class,name
way,34416323,yes,other,Civil Station
way,303894073,yes,other,"Chundale petrol pump, Chundale"
way,309266967,yes,other,
way,309324957,yes,other,
way,309324958,yes,other,
way,309324959,yes,other,
way,309335811,yes,other,
way,309487125,yes,other,
way,309487127,yes,other,
way,309487128,yes,other,
way,309487129,yes,other,
way,309487130,yes,other,
way,309487131,yes,other,
way,309487132,yes,other,
way,309487134,yes,other,
way,309487637,yes,other,
way,309487643,yes,other,
way,386991362,yes,other,
way,386991363,yes,other,
way,386991364,yes,other,Skmj Hss (Hs Section)
way,386991365,school,critical,Skmj Auditorium
way,386991366,yes,other,
way,386991367,yes,other,"District Palnning Office, Wayanad"
way,386991369,yes,other,
way,386991370,yes,other,DTPC Wayanad
way,386991371,yes,other,"District Panchayath Office,Wayanad"
way,386991372,yes,other,District Social
way,386991373,yes,other,
way,386991374,yes,other,
way,386991375,yes,other,
way,386991376,hospital,critical,Fatima Mata Mission Hospital
way,386991377,yes,other,
way,386991378,yes,other,
way,387000738,yes,other,
way,387000739,yes,other,
way,387000740,yes,other,
way,387000741,yes,other,
way,387000742,yes,other,
way,387000743,yes,other,
way,425702971,yes,other,Suthan Bathery Court Complex
way,425703233,school,critical,"Roman Catholic Higher Secondary School,  Chundale"
way,425703614,yes,other,"St.Judes Parish Hall, Chundale"
way,425703749,yes,other,Sree Mariyamman Kshetram
way,425703866,school,critical,"Roman Catholic Lower Primary School, Chundale"
way,425704746,school,critical,Ansariya Public School
way,425747685,yes,other,Town Market
way,425747947,yes,other,Mosque
way,425748367,yes,other,Juma Masjid Kambalakkad
way,444929034,yes,other,
way,444929035,yes,other,
way,444929036,yes,other,
way,444929038,yes,other,
way,444929782,yes,other,
way,444929784,yes,other,
way,444929786,yes,other,
way,444929788,yes,other,
way,444929791,yes,other,
way,444929793,yes,other,
way,444929795,yes,other,
way,444929797,yes,other,ARRAPETTA saw mill
way,486201005,yes,other,
way,486201006,yes,other,
way,486201007,yes,other,
way,486201008,yes,other,
way,486201009,yes,other,
way,486201010,yes,other,
way,486201011,yes,other,
way,486201012,yes,other,
way,486201013,yes,other,
way,486201014,yes,other,
way,486201015,yes,other,
way,525207856,yes,other,Kerala State Electricity Board Section Office
way,545635863,yes,other,Perpetual Adoration Centre
way,545675199,yes,other,Juma masjid
way,545700966,yes,other,Sree Malsyavathara Vishnu Temple
way,545842492,school,critical,St Thomas HSS
way,545842494,school,critical,St Thomas High School
way,545842498,school,critical,ST. thomas LP School & Jubilee Hall
way,545842499,school,critical,
way,545842501,church,other,Holycross Forane Church
way,545842502,yes,other,Parish House
way,546104367,yes,other,Lalith Mahal Auditorium
way,616863225,yes,other,
way,621380118,yes,other,
way,621380119,yes,other,
way,621380121,yes,other,
way,621380123,yes,other,
way,621380125,yes,other,
way,621380129,yes,other,
way,621380131,yes,other,
way,621380132,yes,other,
way,621380133,yes,other,
way,621380134,yes,other,
way,621380135,yes,other,
way,621380138,school,critical,Govt Higher Secondary School Anappara
way,621380140,yes,other,
way,621380141,yes,other,
way,621380142,yes,other,
way,628753823,yes,other,
way,628753824,yes,other,
way,638138840,house,residential,
way,638139065,house,residential,
way,638139285,house,residential,
way,638139377,house,residential,
way,638139425,house,residential,
way,638139460,house,residential,
way,638139606,house,residential,
way,638140130,house,residential,
way,638140966,house,residential,
way,638141028,house,residential,
way,638141155,house,residential,
way,717089262,yes,other,St. Mary’s Orthodox Church
way,721800985,house,residential,Joy Puthusseril
way,735132673,yes,other,
way,735273532,hospital,critical,DM WIMS Medical College
way,735273533,yes,other,
way,736680080,house,residential,Neerampuzha House
way,736680277,house,residential,Nappally
way,736680388,yes,other,Shabhna womens hostel
way,736680808,church,other,Saint Thomas Church Arinchermala
way,736680979,school,critical,St. Thomas LP school arinjermala
way,736681152,yes,other,Saint Thomas Convent
way,736691134,school,critical,Sarvodaya Higher Secondary School Eachome
way,736691561,yes,other,SABU SHOP
way,736698278,house,residential,
way,736698279,house,residential,
way,736698280,house,residential,
way,736698281,house,residential,
way,736698282,house,residential,
way,736698283,house,residential,
way,736698284,house,residential,
way,736698285,house,residential,
way,736698286,house,residential,
way,736698287,house,residential,
way,736698288,house,residential,
way,736698289,house,residential,
way,736698290,house,residential,
way,736698291,house,residential,
way,736698294,house,residential,
way,736698295,house,residential,
way,736698296,house,residential,
way,736698297,house,residential,
way,736698298,house,residential,
way,736698299,house,residential,
way,736698300,house,residential,
way,736698301,house,residential,
way,736698302,house,residential,
way,736698303,house,residential,
way,736698304,house,residential,
way,736698305,house,residential,
way,736698306,house,residential,
way,736698307,house,residential,
way,736698308,house,residential,
way,736698309,house,residential,
way,736698310,house,residential,
way,736698312,house,residential,
way,736698313,house,residential,
way,736698314,house,residential,
way,736698315,house,residential,
way,736698316,house,residential,
way,736698318,house,residential,
way,736698319,house,residential,
way,736698320,house,residential,
way,736698321,house,residential,
way,736698322,house,residential,
way,736698323,house,residential,
way,736698324,house,residential,
way,736698325,house,residential,
way,736698326,house,residential,
way,736698327,house,residential,
way,736698328,house,residential,
way,736698329,yes,other,
way,736698330,yes,other,
way,736698331,house,residential,
way,736698332,yes,other,
way,736698333,house,residential,
way,736698334,house,residential,
way,736698335,house,residential,
way,736698336,yes,other,
way,736698337,yes,other,
way,736698338,yes,other,
way,736698339,house,residential,
way,736698340,house,residential,
way,736698341,yes,other,
way,736698342,yes,other,
way,736698343,yes,other,
way,736698344,yes,other,
way,736698346,yes,other,
way,736698347,yes,other,
way,736698348,yes,other,
way,736698349,house,residential,
way,736698350,house,residential,
way,736698351,house,residential,
way,736698352,house,residential,
way,736698353,house,residential,
way,736698354,house,residential,
way,736698355,house,residential,
way,736698356,house,residential,
way,736698357,house,residential,
way,736698358,yes,other,
way,736698359,house,residential,
way,736698360,yes,other,
way,736698361,yes,other,
way,736698362,yes,other,
way,736698363,yes,other,
way,736698364,yes,other,
way,736698365,yes,other,
way,736698366,yes,other,
way,736698367,yes,other,
way,737775393,yes,other,Kaniyambetta Grama Panchayath Office
way,737781342,college,critical,B ed Block
way,737781343,yes,other,Pongini paradevatha bhadhrakali temple
way,742834505,hospital,critical,marina hospital
way,743170078,hospital,critical,KJ Medical Trust hospital
way,743179262,yes,other,
way,743214902,yes,other,
way,744253292,yes,other,
way,748325339,yes,other,Service Cooperative Bank
way,755096960,yes,other,
way,755096961,yes,other,
way,755096962,yes,other,
way,755096963,yes,other,
way,755096964,yes,other,
way,755096965,yes,other,
way,755096966,yes,other,
way,755096967,yes,other,
way,755096968,yes,other,
way,755096969,yes,other,
way,755096970,yes,other,
way,755096971,yes,other,
way,755096972,yes,other,
way,755096973,yes,other,
way,755096974,yes,other,
way,763028769,yes,other,
way,787053453,house,residential,parammal house
way,787053454,yes,other,
way,788856841,college,critical,Nursing College
way,788856842,yes,other,
