osm_type,osm_id,name,amenity,healthcare,facility_role,latitude,longitude
node,4834362654,PBM Hospital,hospital,,hospital,11.6570597,76.1596653
node,5273465231,Palliyal Dental,hospital,hospital,hospital,11.604897,76.0836235
node,5274879292,whites multi speciality dental clinic,clinic,clinic,clinic,11.7383439,76.0711032
node,5274891888,social health center,hospital,hospital,hospital,11.7380883,76.070615
node,5274906120,,school,,school,11.7377576,76.0730146
node,5274933955,navodaya hospital,hospital,hospital,hospital,11.7387609,76.0736781
node,5275245883,Public health subcentre,hospital,hospital,hospital,11.7425872,76.1201928
node,5275245905,Mathews Homeo clinic,clinic,clinic,clinic,11.7411555,76.1194075
node,6956345382,Leo Hospital,hospital,hospital,hospital,11.6045193,76.0853072
node,6956365498,K J Medical Trust Hospital,hospital,,hospital,11.6295388,76.088562
node,6956427934,Kripa Nursing Home,clinic,clinic,clinic,11.6150825,76.083893
node,7130228002,Family Health Centre Meppadi,hospital,hospital,hospital,11.5584994,76.130717
node,7130237358,High School Meppadi,school,,school,11.5604563,76.130612
node,7398810590,"Community Health Caenter, Meenanagadi",hospital,hospital,hospital,11.6645151,76.1678844
node,7398810597,GLPS Meenangadi,school,doctor,school,11.6630285,76.1670961
node,7484121871,Benz Driving School Test Ground,school,,school,11.5526385,76.134668
node,7484197306,Meppadi Govt.Homoeo Dispensary,clinic,clinic,clinic,11.5529974,76.1342805
node,7502483751,Govt. Homoeo Dispensary Kolery,hospital,hospital,hospital,11.7041382,76.1624716
node,7515413006,district ayurvedic hospital,hospital,hospital,hospital,11.6171614,76.0813997
node,7521373174,Bhavans Vidhya Mandir,school,,school,11.6660353,76.2372766
node,7531535068,,clinic,clinic,clinic,11.6098436,76.0824293
node,7543905624,,shelter,,shelter,11.6131703,76.0699971
node,7725963258,Gokulam Sree Multi Speciality Ayurveda Clinic,clinic,,clinic,11.651072,76.141641
node,7725963261,Swami Vivekananda Medical Mission Hospital,hospital,,hospital,11.6371651,76.1106531
node,7725963262,Homoeo Dispensary,,centre,healthcare_centre,11.6173412,76.0805354
node,7725963266,Santhigiri Ayurveda & Siddha Hospital,hospital,hospital,hospital,11.5973321,76.0791716
node,7725963273,Government Homoeo Dispensary,,centre,healthcare_centre,11.7087864,76.1894172
node,7725963274,"N.S Hospital, Chundale",hospital,hospital,hospital,11.57436,76.058407
node,7725963275,St. Martin Hospital,hospital,,hospital,11.6241764,76.2111471
node,7725963276,Elaj Ayurvedic Hospital,hospital,,hospital,11.634191,76.12005
node,7725963280,Arogya Polyclinic,clinic,,clinic,11.6623892,76.1615692
node,7725963292,Shalem Clinic,clinic,,clinic,11.6598815,76.1667806
node,7725963294,Amrita Kripa Charitable Hospital,hospital,hospital,hospital,11.6344529,76.0894587
node,7725963296,"Government Homeo Dispensary, Mandad",,centre,healthcare_centre,11.6308079,76.1288483
node,7725963297,ESI Dispensary,,centre,healthcare_centre,11.599162,76.083876
node,7725963305,Dr. Ebina's Ayurvedic Clinic,clinic,,clinic,11.7035293,76.1385977
node,7725963307,"Ayush Ayurveda Hospital, Parakkal",hospital,,hospital,11.6374188,76.1016746
node,7725963311,Mayo Hospital,hospital,hospital,hospital,11.6327792,76.0897675
node,7992731992,G H S Kakkavayal School Ground,school,,school,11.6477979,76.1442753
node,7994942163,"WMO English Acadamy Senior Secondary School, Mandad",school,,school,11.6346047,76.1173929
node,7998651921,"Dr Sithara Dileep, BHMS",clinic,clinic,clinic,11.5754096,76.1093966
node,7998684099,Gov.Veterinary Hospital,hospital,hospital,hospital,11.5533112,76.1308228
node,7999419714,Arogyakeralam Wayanad,hospital,centre,hospital,11.6350234,76.0902421
node,7999806493,Aup School Vazhavatta,school,,school,11.612664,76.1531391
node,7999939906,Glps Kallupadi,school,,school,11.6341305,76.149818
node,8000871487,Snalp School Narayanapuram,school,,school,11.7027993,76.2120297
node,8000899635,Anmup School Gokhale Nagar,school,,school,11.680928,76.1823877
node,8002063737,FWC pathiripalam,hospital,hospital,hospital,11.6667264,76.199665
node,8002197728,FWC Kallupadi,hospital,hospital,hospital,11.6331248,76.1504468
node,8002214129,"Sub Centre, Pakkam",hospital,hospital,hospital,11.6161527,76.1475642
node,8002235743,Primary Health Centre Vazhavatta,hospital,hospital,hospital,11.6213793,76.1581686
node,8002264433,Pariyaram Sub Center,hospital,hospital,hospital,11.6478902,76.1007962
node,8002283717,Health Center-Kolagappara,,centre,healthcare_centre,11.6567978,76.2149452
node,8002417949,G L P School Kalpetta,school,,school,11.6083893,76.0839043
node,8002434909,Appad Sub center,hospital,hospital,hospital,11.6935542,76.1754739
node,8002448926,choothupara sub center,hospital,hospital,hospital,11.702407,76.1615233
node,8002453948,Choothupara Sub center,hospital,hospital,hospital,11.7024098,76.1615394
node,8002598110,FW Center -Pathirippalam,,centre,healthcare_centre,11.6714656,76.2019914
