village_code,village_name,population_2011,households_2011,risk_24h_mean,risk_24h_p90,risk_24h_p95,risk_24h_max,risk_72h_mean,risk_72h_p90,risk_72h_p95,risk_72h_max,risk_7day_mean,risk_7day_p90,risk_7day_p95,risk_7day_max,risk_combined_mean,risk_combined_p90,risk_combined_p95,risk_combined_max,population_share,population_exposure_index,forecast_risk_p95,forecast_priority_score,forecast_priority_rank
627296,Mananthavady,34663,8183.0,0.168007,0.376161,0.424368,0.534211,0.15559,0.348361,0.393005,0.49473,0.136277,0.305119,0.344221,0.433319,0.153521,0.343728,0.387779,0.488151,0.044109,1.0,0.387779,0.571445,1
627312,Padichira,28970,7152.0,0.184964,0.394035,0.436264,0.536853,0.171294,0.364914,0.404022,0.497177,0.150032,0.319617,0.35387,0.435462,0.169016,0.360061,0.398649,0.490565,0.036865,0.835761,0.398649,0.529783,2
627321,Nenmeni,31225,7507.0,0.147608,0.344348,0.389672,0.509207,0.136699,0.318899,0.360873,0.471575,0.119731,0.279314,0.316078,0.413038,0.134881,0.314659,0.356074,0.465303,0.039735,0.900816,0.356074,0.519497,3
627311,Pulpalli,28322,6977.0,0.151726,0.36246,0.412356,0.532794,0.140513,0.335673,0.381881,0.493418,0.123071,0.294006,0.334478,0.43217,0.138644,0.331209,0.376803,0.486857,0.03604,0.817067,0.376803,0.508882,4
627327,Kaniambetta,29363,6647.0,0.131317,0.348166,0.396533,0.530786,0.121612,0.322435,0.367228,0.491559,0.106516,0.28241,0.321643,0.430541,0.119994,0.318147,0.362344,0.485022,0.037365,0.847099,0.362344,0.507771,5
627337,Kottappadi (Part),23384,5262.0,0.186645,0.386089,0.429222,0.53658,0.172851,0.357556,0.397501,0.496925,0.151395,0.313172,0.348159,0.435241,0.170553,0.352801,0.392214,0.490316,0.029757,0.67461,0.392214,0.476933,6
627339,Muppainad,22892,5187.0,0.194522,0.392199,0.430628,0.532152,0.180146,0.363214,0.398802,0.492823,0.157784,0.318128,0.349299,0.431649,0.17775,0.358384,0.393499,0.48627,0.029131,0.660416,0.393499,0.473574,7
627318,Kuppadi,26662,6328.0,0.136131,0.337243,0.378721,0.512405,0.12607,0.312319,0.350732,0.474536,0.110421,0.273551,0.307195,0.415631,0.124393,0.308166,0.346068,0.468225,0.033928,0.769178,0.346068,0.473001,8
627317,Sulthanbathery,23333,5515.0,0.17045,0.349789,0.389287,0.508477,0.157853,0.323938,0.360517,0.470898,0.138258,0.283727,0.315766,0.412445,0.155754,0.31963,0.355723,0.464636,0.029692,0.673139,0.355723,0.450947,9
627329,Muttil South,22355,5060.0,0.153378,0.346886,0.38989,0.508477,0.142043,0.321249,0.361075,0.470898,0.124411,0.281372,0.316255,0.412445,0.140154,0.316977,0.356274,0.464636,0.028447,0.644924,0.356274,0.442869,10
627315,Purakkadi ,21022,5102.0,0.145549,0.352684,0.396432,0.511034,0.134792,0.326619,0.367134,0.473266,0.11806,0.286075,0.321561,0.414519,0.132999,0.322275,0.362252,0.466972,0.026751,0.606468,0.362252,0.435517,11
627297,Thavinhal,17840,4209.0,0.182547,0.387731,0.429601,0.534534,0.169056,0.359076,0.397851,0.49503,0.148071,0.314504,0.348466,0.433581,0.166808,0.354301,0.39256,0.488447,0.022702,0.51467,0.39256,0.429193,12
627305,Anchukunnu,19078,4305.0,0.131211,0.354706,0.41199,0.517785,0.121514,0.328492,0.381542,0.479518,0.10643,0.287716,0.334181,0.419995,0.119898,0.324123,0.376468,0.473141,0.024277,0.550385,0.376468,0.428643,13
627294,Thrissilery,16818,3913.0,0.195158,0.40394,0.442389,0.536512,0.180735,0.374087,0.409694,0.496861,0.1583,0.327652,0.358838,0.435185,0.178331,0.369113,0.404246,0.490254,0.021401,0.485186,0.404246,0.428528,14
627306,Porunnanore,22137,4753.0,0.109615,0.31558,0.366556,0.509097,0.101514,0.292257,0.339466,0.471473,0.088913,0.255979,0.297328,0.412948,0.100164,0.288371,0.334951,0.465203,0.02817,0.638635,0.334951,0.426056,15
627314,Irulam,21052,5259.0,0.113728,0.314882,0.367418,0.554752,0.105323,0.291611,0.340264,0.513754,0.092249,0.255413,0.298027,0.449981,0.103923,0.287733,0.335739,0.506922,0.026789,0.607333,0.335739,0.417218,16
627323,Thomattuchal,17984,4392.0,0.157184,0.352769,0.395088,0.508623,0.145568,0.326698,0.36589,0.471033,0.127498,0.286145,0.320471,0.412564,0.143632,0.322353,0.361024,0.464769,0.022885,0.518824,0.361024,0.408364,17
627320,Cheeral,15725,3823.0,0.169952,0.366832,0.414309,0.509278,0.157391,0.339722,0.383689,0.47164,0.137854,0.297552,0.336062,0.413095,0.155298,0.335204,0.378587,0.465368,0.02001,0.453654,0.378587,0.401107,18
627322,Ambalavayal,16988,4117.0,0.147528,0.34912,0.397113,0.511239,0.136625,0.323319,0.367765,0.473456,0.119665,0.283185,0.322114,0.414686,0.134808,0.319019,0.362874,0.46716,0.021618,0.49009,0.362874,0.401039,19
627293,Thirunelly,12878,2989.0,0.251645,0.430993,0.449254,0.520676,0.233048,0.399141,0.416052,0.482195,0.204119,0.349595,0.364407,0.42234,0.229949,0.393833,0.410519,0.475783,0.016388,0.37152,0.410519,0.398819,20
627307,Vellamunda,18069,3946.0,0.112794,0.325028,0.375485,0.524038,0.104458,0.301007,0.347735,0.485309,0.091491,0.263643,0.304571,0.425067,0.103069,0.297004,0.343111,0.478855,0.022993,0.521276,0.343111,0.396561,21
627301,Edavaka,16737,3727.0,0.12236,0.334967,0.384844,0.513444,0.113317,0.310212,0.356402,0.475498,0.099251,0.271705,0.312162,0.416474,0.11181,0.306086,0.351663,0.469175,0.021298,0.482849,0.351663,0.391019,22
627326,Kottathara ,17295,3920.0,0.130363,0.334458,0.377053,0.507158,0.120729,0.30974,0.349187,0.469676,0.105743,0.271292,0.305842,0.411375,0.119123,0.305621,0.344543,0.46343,0.022008,0.498947,0.344543,0.390864,23
627302,Nalloornad,16928,3812.0,0.12035,0.333115,0.381772,0.505517,0.111455,0.308496,0.353557,0.468157,0.09762,0.270202,0.30967,0.410044,0.109973,0.304393,0.348855,0.461931,0.021541,0.488359,0.348855,0.390707,24
627310,Poothadi,14578,3601.0,0.139437,0.358895,0.413434,0.531579,0.129132,0.332371,0.382879,0.492293,0.113102,0.291114,0.335352,0.431185,0.127414,0.327951,0.377787,0.485747,0.018551,0.420564,0.377787,0.39062,25
627324,Padinharethara,16146,3645.0,0.121717,0.324486,0.368881,0.509859,0.112722,0.300505,0.341619,0.472178,0.098729,0.263203,0.299213,0.413566,0.111223,0.296509,0.337076,0.465899,0.020546,0.465799,0.337076,0.375693,26
627309,Nadavayal ,15795,3689.0,0.122081,0.321749,0.367488,0.523222,0.113059,0.297971,0.340329,0.484553,0.099025,0.260983,0.298084,0.424405,0.111555,0.294008,0.335803,0.478109,0.0201,0.455673,0.335803,0.371764,27
627335,Kunnathidavaka,10309,2268.0,0.218798,0.409699,0.441145,0.537155,0.202627,0.37942,0.408542,0.497457,0.177475,0.332322,0.35783,0.435707,0.199933,0.374374,0.403109,0.490841,0.013118,0.297406,0.403109,0.371398,28
627316,Krishnagiri,12952,3229.0,0.159975,0.360373,0.404203,0.532672,0.148152,0.33374,0.37433,0.493305,0.129762,0.292313,0.327864,0.432071,0.146182,0.329302,0.369352,0.486745,0.016482,0.373655,0.369352,0.370643,29
627295,Payyampally,13311,3193.0,0.139524,0.348726,0.398488,0.535565,0.129213,0.322953,0.369038,0.495985,0.113173,0.282865,0.323229,0.434418,0.127494,0.318658,0.36413,0.489389,0.016939,0.384012,0.36413,0.370095,30
627319,Noolpuzha,14133,3299.0,0.140161,0.33818,0.380593,0.526395,0.129803,0.313187,0.352465,0.487492,0.11369,0.274311,0.308713,0.426979,0.128077,0.309022,0.347778,0.481009,0.017985,0.407726,0.347778,0.365762,31
627298,Periya,11174,2571.0,0.16721,0.371135,0.416427,0.52595,0.154852,0.343707,0.385651,0.48708,0.13563,0.301042,0.33778,0.426619,0.152793,0.339136,0.380523,0.480603,0.014219,0.322361,0.380523,0.363074,32
627304,Panamaram,12683,2916.0,0.130764,0.341761,0.392253,0.536727,0.1211,0.316504,0.363264,0.497061,0.106068,0.277216,0.318172,0.43536,0.11949,0.312295,0.358433,0.49045,0.016139,0.365894,0.358433,0.360671,33
627328,Muttil North ,12382,2808.0,0.152178,0.349353,0.394862,0.510326,0.140931,0.323534,0.36568,0.472611,0.123438,0.283373,0.320288,0.413945,0.139057,0.319231,0.360817,0.466326,0.015756,0.357211,0.360817,0.359735,34
627303,Cherukottur,11462,2540.0,0.13698,0.349593,0.404614,0.514408,0.126856,0.323757,0.374712,0.476391,0.111109,0.283569,0.328198,0.417256,0.125169,0.319451,0.369728,0.470056,0.014586,0.33067,0.369728,0.358011,35
627333,Achooranam,11998,2684.0,0.162247,0.351223,0.393813,0.508673,0.150256,0.325266,0.364708,0.47108,0.131605,0.284891,0.319437,0.412604,0.148258,0.320941,0.359858,0.464815,0.015268,0.346133,0.359858,0.355741,36
627330,Vengappally,11692,2667.0,0.150638,0.344311,0.387886,0.506272,0.139505,0.318865,0.359219,0.468856,0.122188,0.279284,0.314629,0.410657,0.13765,0.314625,0.354442,0.462621,0.014878,0.337305,0.354442,0.349301,37
627300,Valat,10799,2477.0,0.14421,0.351768,0.398323,0.51049,0.133552,0.325771,0.368885,0.472763,0.116974,0.285332,0.323095,0.414078,0.131776,0.321438,0.363979,0.466476,0.013742,0.311543,0.363979,0.348248,38
627299,Thondernad,11752,2652.0,0.120122,0.332045,0.38299,0.536313,0.111245,0.307506,0.354685,0.496677,0.097436,0.269335,0.310658,0.435024,0.109765,0.303416,0.349969,0.490072,0.014955,0.339036,0.349969,0.346689,39
627340,Vellarimala,7548,1711.0,0.171922,0.390827,0.435641,0.527297,0.159216,0.361943,0.403445,0.488327,0.139452,0.317015,0.353365,0.427711,0.157098,0.35713,0.39808,0.481833,0.009605,0.217754,0.39808,0.343982,40
627325,Kuppadithara,9761,2131.0,0.12549,0.345347,0.398141,0.53212,0.116216,0.319824,0.368716,0.492794,0.10179,0.280124,0.322947,0.431623,0.114671,0.315571,0.363813,0.486241,0.012421,0.281597,0.363813,0.339148,41
627308,Kanjirangad,11811,2725.0,0.101398,0.300719,0.361114,0.531349,0.093904,0.278495,0.334426,0.49208,0.082248,0.243925,0.292913,0.430998,0.092656,0.274791,0.329978,0.485536,0.01503,0.340738,0.329978,0.333206,42
