village_code,village_name,population_2011,households_2011,male_population_2011,female_population_2011,model_a_risk_mean,model_a_risk_median,model_a_risk_p90,model_a_risk_p95,model_a_risk_max,model_a_risk_valid_cells,population_density_proxy,population_share,priority_score,priority_rank
627296,Mananthavady,34663,8183.0,16899.0,17764.0,0.408012,0.353783,0.688156,0.751122,0.937579,59050,652.199286,0.044109,0.825785,1
627337,Kottappadi (Part),23384,5262.0,11228.0,12156.0,0.332377,0.297052,0.68545,0.749898,0.880337,58240,446.090735,0.029757,0.727312,2
627339,Muppainad,22892,5187.0,11140.0,11752.0,0.278822,0.226933,0.623241,0.729161,0.896581,63049,371.431745,0.029131,0.708538,3
627324,Padinharethara,16146,3645.0,7796.0,8350.0,0.425336,0.41795,0.734931,0.79291,0.936833,47605,374.601212,0.020546,0.694777,4
627307,Vellamunda,18069,3946.0,8888.0,9181.0,0.415503,0.351299,0.695455,0.766332,0.927848,40398,496.98606,0.022993,0.692816,5
627297,Thavinhal,17840,4209.0,8761.0,9079.0,0.436182,0.416637,0.697109,0.754969,0.926143,57832,335.438512,0.022702,0.68288,6
627299,Thondernad,11752,2652.0,5882.0,5870.0,0.505965,0.542091,0.763934,0.80193,0.923686,106719,121.119646,0.014955,0.663061,7
627306,Porunnanore,22137,4753.0,10909.0,11228.0,0.325404,0.267241,0.587562,0.64517,0.863989,30670,801.874595,0.02817,0.64321,8
627334,Pozhuthana,6406,1571.0,3099.0,3307.0,0.569959,0.587541,0.786482,0.833135,0.937052,53890,132.115715,0.008152,0.638637,9
627308,Kanjirangad,11811,2725.0,5877.0,5934.0,0.435705,0.415473,0.700232,0.763403,0.929755,38712,339.182597,0.01503,0.636603,10
627294,Thrissilery,16818,3913.0,8267.0,8551.0,0.253638,0.181672,0.619246,0.700939,0.918161,59607,305.031072,0.021401,0.636213,11
627293,Thirunelly,12878,2989.0,6306.0,6572.0,0.304431,0.258561,0.67021,0.748544,0.920372,141519,85.765808,0.016388,0.635437,12
627335,Kunnathidavaka,10309,2268.0,5029.0,5280.0,0.470663,0.467166,0.74339,0.779824,0.926554,35819,319.81077,0.013118,0.635099,13
627321,Nenmeni,31225,7507.0,15262.0,15963.0,0.137595,0.064821,0.397024,0.515779,0.859545,45919,755.726215,0.039735,0.631291,14
627298,Periya,11174,2571.0,5574.0,5600.0,0.438846,0.418258,0.693232,0.752342,0.891038,57069,178.08468,0.014219,0.623347,15
627340,Vellarimala,7548,1711.0,3692.0,3856.0,0.406213,0.429601,0.755287,0.787355,0.908816,61890,131.708479,0.009605,0.616474,16
627333,Achooranam,11998,2684.0,5753.0,6245.0,0.385318,0.318344,0.647081,0.714612,0.934805,23121,576.351829,0.015268,0.604068,17
627305,Anchukunnu,19078,4305.0,9516.0,9562.0,0.260799,0.257534,0.549556,0.614393,0.880588,34084,621.877697,0.024277,0.595191,18
627301,Edavaka,16737,3727.0,8245.0,8492.0,0.338126,0.298965,0.58467,0.642097,0.815054,28986,641.487989,0.021298,0.594323,19
627326,Kottathara ,17295,3920.0,8489.0,8806.0,0.270962,0.256254,0.563908,0.627112,0.884567,35605,540.135124,0.022008,0.588662,20
627300,Valat,10799,2477.0,5350.0,5449.0,0.395089,0.335942,0.642432,0.706198,0.87542,30008,399.76861,0.013742,0.587802,21
627302,Nalloornad,16928,3812.0,8557.0,8371.0,0.313025,0.264349,0.566976,0.620669,0.828266,22994,817.96237,0.021541,0.580976,22
627332,Thariyode,1653,385.0,797.0,856.0,0.484031,0.532498,0.755077,0.790789,0.936109,59917,30.663963,0.002103,0.567859,23
627331,Kavumannam,10106,2358.0,5027.0,5079.0,0.361692,0.312896,0.625124,0.68572,0.879938,18239,615.547206,0.01286,0.567469,24
